apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
BvS MMS Defensiv, BvS Defensiv, 6, 3J, 16.4%, 4.0%
BvS MMS Defensiv, BvS Defensiv, 6, 5J, 42.5%, 3.6%
BvS MMS Defensiv, BvS Defensiv, 5, 1J, 7.7%, 3.1%
BvS MMS Defensiv, BvS Defensiv, 5, 3J, 17.4%, 4.0%
BvS MMS Defensiv, BvS Defensiv, 5, 5J, 45.7%, 3.6%
BvS MMS Defensiv, BvS Defensiv, 4, 1J, 7.5%, 3.2%
BvS MMS Defensiv, BvS Defensiv, 4, 3J, 18.5%, 4.0%
BvS MMS Defensiv, BvS Defensiv, 4, 5J, 44.7%, 3.6%
BvS MMS Ausgewogen, BvS Ausgewogen, 8, 1J, 6.4%, 3.3%
BvS MMS Ausgewogen, BvS Ausgewogen, 8, 3J, 19.4%, 5.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 8, 5J, 49.0%, 5.0%
BvS MMS Ausgewogen, BvS Ausgewogen, 7, 1J, 7.3%, 3.3%
BvS MMS Ausgewogen, BvS Ausgewogen, 7, 3J, 22.6%, 5.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 7, 5J, 50.9%, 5.0%
BvS MMS Ausgewogen, BvS Ausgewogen, 6, 1J, 9.9%, 3.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 6, 3J, 21.6%, 5.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 6, 5J, 55.8%, 5.0%
BvS MMS Ausgewogen, BvS Ausgewogen, 5, 1J, 10.4%, 4.1%
BvS MMS Ausgewogen, BvS Ausgewogen, 5, 3J, 23.0%, 5.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 5, 5J, 60.5%, 5.1%
BvS MMS Ausgewogen, BvS Ausgewogen, 4, 1J, 10.6%, 4.3%
BvS MMS Ausgewogen, BvS Ausgewogen, 4, 3J, 24.2%, 5.5%
BvS MMS Ausgewogen, BvS Ausgewogen, 4, 5J, 58.8%, 5.1%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 8, 1J, 7.5%, 4.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 8, 3J, 23.9%, 7.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 8, 5J, 59.2%, 6.6%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 7, 1J, 8.2%, 4.2%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 7, 3J, 28.2%, 7.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 7, 5J, 61.4%, 6.6%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 6, 1J, 11.3%, 4.4%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 6, 3J, 27.01%, 7.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 6, 5J, 68.1%, 6.6%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 5, 1J, 12.4%, 5.2%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 5, 3J, 29.1%, 7.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 5, 5J, 74.7%, 6.7%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 4, 1J, 13.1%, 5.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 4, 3J, 30.8%, 7.3%
BvS MMS Dividende & Zins, BvS Dividende & Zins, 4, 5J, 72.5%, 6.8%
